P_A,P_B,P_C,sigA,sigB,sigC,count,n_min,n_max,top_e (bis 5)
85,721,121,5·17,7·103,11·11,6,96401305,808287865,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1273,253,5·5,19·67,11·23,6,104672425,877638025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,469,649,5·5,7·67,11·59,6,98923825,829438225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,469,781,5·5,7·67,11·71,6,119043925,998137525,"13×1, 37×1, 61×1, 73×1, 97×1"
85,301,253,5·17,7·43,11·23,6,84149065,705557545,"13×1, 37×1, 61×1, 73×1, 97×1"
145,49,1177,5·29,7·7,11·107,6,108713605,911521765,"13×1, 37×1, 61×1, 73×1, 97×1"
25,589,529,5·5,19·31,23·23,6,101263825,849058225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,5221,5·5,7·7,23·227,6,83144425,697134025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1141,253,5·5,7·163,11·23,6,93818725,786633925,"13×1, 37×1, 61×1, 73×1, 97×1"
145,49,1357,5·29,7·7,23·59,5,125339305,935224045,"13×1, 37×1, 61×1, 73×1, 97×1"
85,469,253,5·17,7·67,11·23,5,131115985,978326965,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,8413,5·5,7·7,47·179,5,133977025,999674725,"13×1, 37×1, 61×1, 73×1, 97×1"
289,49,649,17·17,7·7,11·59,5,119476357,891477433,"13×1, 37×1, 61×1, 73×1, 97×1"
1585,49,121,5·317,7·7,11·11,5,122167045,911554105,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,8257,5·5,7·7,23·359,5,131492725,981138025,"13×1, 37×1, 61×1, 73×1, 97×1"
289,133,253,17·17,7·19,11·23,5,126419293,943282417,"13×1, 37×1, 61×1, 73×1, 97×1"
1681,49,121,41·41,7·7,11·11,5,129566437,966764953,"13×1, 37×1, 61×1, 73×1, 97×1"
1717,49,121,17·101,7·7,11·11,5,132341209,987469021,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,2773,5·5,7·19,47·59,5,119862925,894361825,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,2461,5·17,7·7,23·107,5,133250845,994256305,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,7849,5·5,7·7,47·167,5,124995325,932657425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,589,649,5·5,19·31,11·59,5,124234825,926982925,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,7513,5·5,7·7,11·683,5,119644525,892732225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,721,517,5·5,7·103,11·47,5,121146025,903935725,"13×1, 37×1, 61×1, 73×1, 97×1"
265,49,781,5·53,7·7,11·71,5,131836705,983704645,"13×1, 37×1, 61×1, 73×1, 97×1"
25,721,529,5·5,7·103,23·23,5,123957925,924916825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,7597,5·5,7·7,71·107,5,120982225,902713525,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,7729,5·5,7·7,59·131,5,123084325,918398425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,7909,5·5,7·7,11·719,5,125950825,939786925,"13×1, 37×1, 61×1, 73×1, 97×1"
85,49,2209,5·17,7·7,47·47,5,119606305,892447045,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,7981,5·5,7·7,23·347,5,127097425,948342325,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,2761,5·5,7·19,11·251,5,119344225,890491525,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,2893,5·5,7·19,11·263,5,125049925,933064825,"13×1, 37×1, 61×1, 73×1, 97×1"
25,133,3013,5·5,7·19,23·131,5,130236925,971767825,"13×1, 37×1, 61×1, 73×1, 97×1"
265,301,121,5·53,7·43,11·11,5,125470345,936201805,"13×1, 37×1, 61×1, 73×1, 97×1"
25,361,1081,5·5,19·19,23·47,5,126828325,946334425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,49,8173,5·5,7·7,11·743,5,130155025,971156725,"13×1, 37×1, 61×1, 73×1, 97×1"
145,49,1441,5·29,7·7,11·131,5,133097965,993115585,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1561,253,5·5,7·223,11·23,5,128353225,957712525,"13×1, 37×1, 61×1, 73×1, 97×1"
85,973,121,5·17,7·139,11·11,5,130094965,970708585,"13×1, 37×1, 61×1, 73×1, 97×1"
85,961,121,5·17,31·31,11·11,5,128490505,958736845,"13×1, 37×1, 61×1, 73×1, 97×1"
145,133,517,5·29,7·19,11·47,5,129614485,967123465,"13×1, 37×1, 61×1, 73×1, 97×1"
25,3193,121,5·5,31·103,11·11,5,125564725,936906025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,3241,121,5·5,7·463,11·11,5,127452325,950990425,"13×1, 37×1, 61×1, 73×1, 97×1"
25,3397,121,5·5,43·79,11·11,5,133587025,996764725,"13×1, 37×1, 61×1, 73×1, 97×1"
25,301,1357,5·5,7·43,23·59,5,132748525,990508225,"13×1, 37×1, 61×1, 73×1, 97×1"
145,133,529,5·29,7·19,23·23,5,132622945,989571205,"13×1, 37×1, 61×1, 73×1, 97×1"
145,553,121,5·29,7·79,11·11,5,126131005,941131345,"13×1, 37×1, 61×1, 73×1, 97×1"
25,3097,121,5·5,19·163,11·11,5,121789525,908737225,"13×1, 37×1, 61×1, 73×1, 97×1"
25,3073,121,5·5,7·439,11·11,5,120845725,901695025,"13×1, 37×1, 61×1, 73×1, 97×1"
85,217,517,5·17,7·31,11·47,5,123968845,924998305,"13×1, 37×1, 61×1, 73×1, 97×1"
745,49,253,5·149,7·7,11·23,5,120064945,895869205,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1501,253,5·5,19·79,11·23,5,123419725,920901025,"13×1, 37×1, 61×1, 73×1, 97×1"
25,1477,253,5·5,7·211,11·23,5,121446325,906176425,"13×1, 37×1, 61×1, 73×1, 97×1"
85,217,529,5·17,7·31,23·23,5,126846265,946468285,"13×1, 37×1, 61×1, 73×1, 97×1"
25,217,1837,5·5,7·31,11·167,5,129554425,966675325,"13×1, 37×1, 61×1, 73×1, 97×1"
145,361,253,5·29,19·19,11·23,4,172162705,966759805,"13×1, 37×1, 61×1, 73×1"
85,217,649,5·17,7·31,11·59,4,155620465,873868765,"13×1, 37×1, 61×1, 73×1"
205,217,253,5·41,7·31,11·23,4,146311165,821593465,"13×1, 37×1, 61×1, 73×1"
85,133,1081,5·17,7·19,23·47,4,158869165,892111465,"13×1, 37×1, 61×1, 73×1"
85,589,253,5·17,19·31,11·23,4,164663785,924650485,"13×1, 37×1, 61×1, 73×1"
145,589,121,5·29,19·31,11·11,4,134342065,754382365,"13×1, 37×1, 61×1, 73×1"
85,301,517,5·17,7·43,11·47,4,171956785,965603485,"13×1, 37×1, 61×1, 73×1"
85,1057,121,5·17,7·151,11·11,4,141326185,793600885,"13×1, 37×1, 61×1, 73×1"
85,133,1177,5·17,7·19,11·107,4,172977805,971336905,"13×1, 37×1, 61×1, 73×1"
145,133,649,5·29,7·19,11·59,4,162707545,913665445,"13×1, 37×1, 61×1, 73×1"
205,469,121,5·41,7·67,11·11,4,151236085,849248785,"13×1, 37×1, 61×1, 73×1"
85,301,529,5·17,7·43,23·23,4,175948045,988015945,"13×1, 37×1, 61×1, 73×1"
85,49,2773,5·17,7·7,47·59,4,150144085,843116785,"13×1, 37×1, 61×1, 73×1"
25,133,3421,5·5,7·19,11·311,4,147872725,830362225,"13×1, 37×1, 61×1, 73×1"
145,721,121,5·29,7·103,11·11,4,164449285,923445985,"13×1, 37×1, 61×1, 73×1"
25,133,3337,5·5,7·19,47·71,4,144241825,809973325,"13×1, 37×1, 61×1, 73×1"
85,49,2893,5·17,7·7,11·263,4,156641485,879602185,"13×1, 37×1, 61×1, 73×1"
145,49,1633,5·29,7·7,23·71,4,150832045,846979945,"13×1, 37×1, 61×1, 73×1"
85,553,253,5·17,7·79,11·23,4,154599445,868135345,"13×1, 37×1, 61×1, 73×1"
85,49,3013,5·17,7·7,23·131,4,163138885,916087585,"13×1, 37×1, 61×1, 73×1"
205,49,1357,5·41,7·7,23·59,4,177203845,995067745,"13×1, 37×1, 61×1, 73×1"
145,49,1837,5·29,7·7,11·167,4,169674505,952787605,"13×1, 37×1, 61×1, 73×1"
205,49,1177,5·41,7·7,11·107,4,153698545,863076445,"13×1, 37×1, 61×1, 73×1"
205,49,1081,5·41,7·7,23·47,4,141162385,792681085,"13×1, 37×1, 61×1, 73×1"
145,49,1909,5·29,7·7,23·83,4,176324785,990131485,"13×1, 37×1, 61×1, 73×1"
25,133,3481,5·5,7·19,59·59,4,150466225,844925725,"13×1, 37×1, 61×1, 73×1"
85,49,2761,5·17,7·7,11·251,4,149494345,839468245,"13×1, 37×1, 61×1, 73×1"
85,49,2629,5·17,7·7,11·239,4,142347205,799334305,"13×1, 37×1, 61×1, 73×1"
85,49,2497,5·17,7·7,11·227,4,135200065,759200365,"13×1, 37×1, 61×1, 73×1"
25,133,3817,5·5,7·19,11·347,4,164989825,926481325,"13×1, 37×1, 61×1, 73×1"
25,133,3841,5·5,7·19,23·167,4,166027225,932306725,"13×1, 37×1, 61×1, 73×1"
25,133,3901,5·5,7·19,47·83,4,168620725,946870225,"13×1, 37×1, 61×1, 73×1"
25,133,3949,5·5,7·19,11·359,4,170695525,958521025,"13×1, 37×1, 61×1, 73×1"
25,133,4117,5·5,7·19,23·179,4,177957325,999298825,"13×1, 37×1, 61×1, 73×1"
85,1141,121,5·17,7·163,11·11,4,152557405,856668505,"13×1, 37×1, 61×1, 73×1"
85,133,913,5·17,7·19,11·83,4,134179045,753466945,"13×1, 37×1, 61×1, 73×1"
85,1273,121,5·17,19·67,11·11,4,170206465,955774765,"13×1, 37×1, 61×1, 73×1"
145,301,253,5·29,7·43,11·23,4,143548405,806079505,"13×1, 37×1, 61×1, 73×1"
25,217,2461,5·5,7·31,23·107,4,173562025,974617525,"13×1, 37×1, 61×1, 73×1"
865,49,253,5·173,7·7,11·23,4,139404265,782808565,"13×1, 37×1, 61×1, 73×1"
25,1981,253,5·5,7·283,11·23,4,162887725,914677225,"13×1, 37×1, 61×1, 73×1"
841,133,121,29·29,7·19,11·11,4,175944769,987997549,"13×1, 37×1, 61×1, 73×1"
25,553,913,5·5,7·79,11·83,4,164088925,921422425,"13×1, 37×1, 61×1, 73×1"
841,49,253,29·29,7·7,11·23,4,135536401,761089021,"13×1, 37×1, 61×1, 73×1"
25,553,781,5·5,7·79,11·71,4,140365225,788204725,"13×1, 37×1, 61×1, 73×1"
745,133,121,5·149,7·19,11·11,4,155860705,875217805,"13×1, 37×1, 61×1, 73×1"
697,133,121,17·41,7·19,11·11,4,145818673,818827933,"13×1, 37×1, 61×1, 73×1"
25,1849,253,5·5,43·43,11·23,4,152034025,853729525,"13×1, 37×1, 61×1, 73×1"
25,1897,253,5·5,7·271,11·23,4,155980825,875892325,"13×1, 37×1, 61×1, 73×1"
685,133,121,5·137,7·19,11·11,4,143308165,804730465,"13×1, 37×1, 61×1, 73×1"
25,1957,253,5·5,19·103,11·23,4,160914325,903595825,"13×1, 37×1, 61×1, 73×1"
25,2077,253,5·5,31·67,11·23,4,170781325,959002825,"13×1, 37×1, 61×1, 73×1"
493,49,529,17·29,7·7,23·23,4,166127689,932870869,"13×1, 37×1, 61×1, 73×1"
25,2149,253,5·5,7·307,11·23,4,176701525,992247025,"13×1, 37×1, 61×1, 73×1"
25,469,1081,5·5,7·67,23·47,4,164771425,925254925,"13×1, 37×1, 61×1, 73×1"
25,469,913,5·5,7·67,11·83,4,139164025,781459525,"13×1, 37×1, 61×1, 73×1"
25,49,11017,5·5,7·7,23·479,4,175445725,985195225,"13×1, 37×1, 61×1, 73×1"
505,217,121,5·101,7·31,11·11,4,172377205,967964305,"13×1, 37×1, 61×1, 73×1"
25,49,10873,5·5,7·7,83·131,4,173152525,972318025,"13×1, 37×1, 61×1, 73×1"
505,49,529,5·101,7·7,23·23,4,170171365,955577665,"13×1, 37×1, 61×1, 73×1"
2173,49,121,41·53,7·7,11·11,4,167488321,940511341,"13×1, 37×1, 61×1, 73×1"
493,217,121,17·29,7·31,11·11,4,168281113,944963173,"13×1, 37×1, 61×1, 73×1"
25,3409,121,5·5,7·487,11·11,4,134058925,752792425,"13×1, 37×1, 61×1, 73×1"
901,49,253,17·53,7·7,11·23,4,145206061,815387881,"13×1, 37×1, 61×1, 73×1"
985,49,253,5·197,7·7,11·23,4,158743585,891406285,"13×1, 37×1, 61×1, 73×1"
25,301,1441,5·5,7·43,11·131,4,140965825,791577325,"13×1, 37×1, 61×1, 73×1"
25,301,1633,5·5,7·43,23·71,4,159748225,897047725,"13×1, 37×1, 61×1, 73×1"
1945,49,121,5·389,7·7,11·11,4,149914765,841829065,"13×1, 37×1, 61×1, 73×1"
25,889,517,5·5,7·127,11·47,4,149374225,838793725,"13×1, 37×1, 61×1, 73×1"
1921,49,121,17·113,7·7,11·11,4,148064917,831441457,"13×1, 37×1, 61×1, 73×1"
25,889,529,5·5,7·127,23·23,4,152841325,858262825,"13×1, 37×1, 61×1, 73×1"
1765,49,121,5·353,7·7,11·11,4,136040905,763922005,"13×1, 37×1, 61×1, 73×1"
25,961,517,5·5,31·31,11·47,4,161472025,906727525,"13×1, 37×1, 61×1, 73×1"
25,961,529,5·5,31·31,23·23,4,165219925,927773425,"13×1, 37×1, 61×1, 73×1"
2245,49,121,5·449,7·7,11·11,4,173037865,971674165,"13×1, 37×1, 61×1, 73×1"
25,973,517,5·5,7·139,11·47,4,163488325,918049825,"13×1, 37×1, 61×1, 73×1"
25,973,529,5·5,7·139,23·23,4,167283025,939358525,"13×1, 37×1, 61×1, 73×1"
2305,49,121,5·461,7·7,11·11,4,177662485,997643185,"13×1, 37×1, 61×1, 73×1"
25,1057,517,5·5,7·151,11·47,4,177602425,997305925,"13×1, 37×1, 61×1, 73×1"
25,817,649,5·5,19·43,11·59,4,172325725,967675225,"13×1, 37×1, 61×1, 73×1"
25,817,529,5·5,19·43,23·23,4,140462725,788752225,"13×1, 37×1, 61×1, 73×1"
25,817,517,5·5,19·43,11·47,4,137276425,770859925,"13×1, 37×1, 61×1, 73×1"
25,721,649,5·5,7·103,11·59,4,152076925,853970425,"13×1, 37×1, 61×1, 73×1"
25,589,913,5·5,19·31,11·83,4,174771025,981406525,"13×1, 37×1, 61×1, 73×1"
25,589,781,5·5,19·31,11·71,4,149502925,839516425,"13×1, 37×1, 61×1, 73×1"
25,361,1177,5·5,19·19,11·107,4,138091525,775437025,"13×1, 37×1, 61×1, 73×1"
25,361,1357,5·5,19·19,23·59,4,159210025,894025525,"13×1, 37×1, 61×1, 73×1"
25,361,1441,5·5,19·19,11·131,4,169065325,949366825,"13×1, 37×1, 61×1, 73×1"
25,3493,121,5·5,7·499,11·11,4,137362225,771341725,"13×1, 37×1, 61×1, 73×1"
505,49,517,5·101,7·7,11·47,4,166311145,933901045,"13×1, 37×1, 61×1, 73×1"
493,49,517,17·29,7·7,11·47,4,162359197,911709337,"13×1, 37×1, 61×1, 73×1"
289,301,121,17·17,7·43,11·11,4,136833697,768373837,"13×1, 37×1, 61×1, 73×1"
289,49,913,17·17,7·7,11·83,4,168076909,943816489,"13×1, 37×1, 61×1, 73×1"
289,49,781,17·17,7·7,11·71,4,143776633,807361093,"13×1, 37×1, 61×1, 73×1"
25,3829,121,5·5,7·547,11·11,4,150575425,845538925,"13×1, 37×1, 61×1, 73×1"
25,3937,121,5·5,31·127,11·11,4,154822525,869388025,"13×1, 37×1, 61×1, 73×1"
25,3997,121,5·5,7·571,11·11,4,157182025,882637525,"13×1, 37×1, 61×1, 73×1"
25,4009,121,5·5,19·211,11·11,4,157653925,885287425,"13×1, 37×1, 61×1, 73×1"
25,4237,121,5·5,19·223,11·11,4,166620025,935635525,"13×1, 37×1, 61×1, 73×1"
25,4249,121,5·5,7·607,11·11,4,167091925,938285425,"13×1, 37×1, 61×1, 73×1"
265,361,121,5·53,19·19,11·11,4,150481045,845008945,"13×1, 37×1, 61×1, 73×1"
25,4309,121,5·5,31·139,11·11,4,169451425,951534925,"13×1, 37×1, 61×1, 73×1"
25,4333,121,5·5,7·619,11·11,4,170395225,956834725,"13×1, 37×1, 61×1, 73×1"
25,4417,121,5·5,7·631,11·11,4,173698525,975384025,"13×1, 37×1, 61×1, 73×1"
25,4429,121,5·5,43·103,11·11,4,174170425,978033925,"13×1, 37×1, 61×1, 73×1"
25,4489,121,5·5,67·67,11·11,4,176529925,991283425,"13×1, 37×1, 61×1, 73×1"
25,4501,121,5·5,7·643,11·11,4,177001825,993933325,"13×1, 37×1, 61×1, 73×1"
25,49,9493,5·5,7·7,11·863,4,151176025,848911525,"13×1, 37×1, 61×1, 73×1"
25,49,9301,5·5,7·7,71·131,4,148118425,831741925,"13×1, 37×1, 61×1, 73×1"
25,49,9229,5·5,7·7,11·839,4,146971825,825303325,"13×1, 37×1, 61×1, 73×1"
25,49,9097,5·5,7·7,11·827,4,144869725,813499225,"13×1, 37×1, 61×1, 73×1"
25,49,8977,5·5,7·7,47·191,4,142958725,802768225,"13×1, 37×1, 61×1, 73×1"
25,49,8881,5·5,7·7,83·107,4,141429925,794183425,"13×1, 37×1, 61×1, 73×1"
25,49,8809,5·5,7·7,23·383,4,140283325,787744825,"13×1, 37×1, 61×1, 73×1"
265,49,913,5·53,7·7,11·83,4,154118965,865437265,"13×1, 37×1, 61×1, 73×1"
25,3661,121,5·5,7·523,11·11,4,143968825,808440325,"13×1, 37×1, 61×1, 73×1"
25,3781,121,5·5,19·199,11·11,4,148687825,834939325,"13×1, 37×1, 61×1, 73×1"
25,217,2497,5·5,7·31,11·227,4,176100925,988874425,"13×1, 37×1, 61×1, 73×1"
25,49,9853,5·5,7·7,59·167,4,156909025,881104525,"13×1, 37×1, 61×1, 73×1"
25,49,10813,5·5,7·7,11·983,4,172197025,966952525,"13×1, 37×1, 61×1, 73×1"
25,49,10741,5·5,7·7,23·467,4,171050425,960513925,"13×1, 37×1, 61×1, 73×1"
25,49,10681,5·5,7·7,11·971,4,170094925,955148425,"13×1, 37×1, 61×1, 73×1"
25,49,10669,5·5,7·7,47·227,4,169903825,954075325,"13×1, 37×1, 61×1, 73×1"
25,49,10561,5·5,7·7,59·179,4,168183925,944417425,"13×1, 37×1, 61×1, 73×1"
25,49,10417,5·5,7·7,11·947,4,165890725,931540225,"13×1, 37×1, 61×1, 73×1"
25,49,10189,5·5,7·7,23·443,4,162259825,911151325,"13×1, 37×1, 61×1, 73×1"
445,217,121,5·89,7·31,11·11,4,151896745,852958645,"13×1, 37×1, 61×1, 73×1"
25,49,10021,5·5,7·7,11·911,4,159584425,896127925,"13×1, 37×1, 61×1, 73×1"
25,49,9913,5·5,7·7,23·431,4,157864525,886470025,"13×1, 37×1, 61×1, 73×1"
289,361,121,17·17,19·19,11·11,4,164109517,921538057,"13×1, 37×1, 61×1, 73×1"
2005,49,121,5·401,7·7,11·11,4,154539385,867798085,"13×1, 37×1, 61×1, 73×1"
25,217,2209,5·5,7·31,47·47,4,155789725,874819225,"13×1, 37×1, 61×1, 73×1"
25,217,2101,5·5,7·31,11·191,4,148173025,832048525,"13×1, 37×1, 61×1, 73×1"
445,49,529,5·89,7·7,23·23,4,149952985,842043685,"13×1, 37×1, 61×1, 73×1"
445,49,517,5·89,7·7,11·47,4,146551405,822942505,"13×1, 37×1, 61×1, 73×1"
25,217,1969,5·5,7·31,11·179,4,138863725,779773225,"13×1, 37×1, 61×1, 73×1"
25,49,9757,5·5,7·7,11·887,4,155380225,872519725,"13×1, 37×1, 61×1, 73×1"
25,49,9637,5·5,7·7,23·419,4,153469225,861788725,"13×1, 37×1, 61×1, 73×1"
25,217,1909,5·5,7·31,23·83,4,134632225,756011725,"13×1, 37×1, 61×1, 73×1"
25,721,781,5·5,7·103,11·71,3,183007825,858729025,"13×1, 37×1, 61×1"
25,589,1081,5·5,19·31,23·47,3,206930425,970981225,"13×1, 37×1, 61×1"
25,469,1357,5·5,7·67,23·59,3,206840725,970560325,"13×1, 37×1, 61×1"
25,469,1177,5·5,7·67,11·107,3,179404225,841819825,"13×1, 37×1, 61×1"
25,817,781,5·5,19·43,11·71,3,207375025,973067425,"13×1, 37×1, 61×1"
25,361,1633,5·5,19·19,23·71,3,191591725,899007325,"13×1, 37×1, 61×1"
25,553,1081,5·5,7·79,23·47,3,194282725,911634325,"13×1, 37×1, 61×1"
25,553,1177,5·5,7·79,11·107,3,211536325,992593525,"13×1, 37×1, 61×1"
25,5377,121,5·5,19·283,11·11,3,211450525,992190925,"13×1, 37×1, 61×1"
25,889,649,5·5,7·127,11·59,3,187512325,879865525,"13×1, 37×1, 61×1"
85,133,1357,5·17,7·19,23·59,3,199431505,935793985,"13×1, 37×1, 61×1"
25,217,3013,5·5,7·31,23·131,3,212491825,997077025,"13×1, 37×1, 61×1"
25,217,2893,5·5,7·31,11·263,3,204028825,957366025,"13×1, 37×1, 61×1"
25,217,2773,5·5,7·31,47·59,3,195565825,917655025,"13×1, 37×1, 61×1"
85,49,3901,5·17,7·7,47·83,3,211219645,991107565,"13×1, 37×1, 61×1"
85,49,3841,5·17,7·7,23·167,3,207970945,975863665,"13×1, 37×1, 61×1"
85,49,3817,5·17,7·7,11·347,3,206671465,969766105,"13×1, 37×1, 61×1"
85,49,3481,5·17,7·7,59·59,3,188478745,884400265,"13×1, 37×1, 61×1"
25,217,2761,5·5,7·31,11·251,3,194719525,913683925,"13×1, 37×1, 61×1"
25,217,2629,5·5,7·31,11·239,3,185410225,870001825,"13×1, 37×1, 61×1"
85,361,529,5·17,19·19,23·23,3,211020745,990174265,"13×1, 37×1, 61×1"
85,49,3421,5·17,7·7,11·311,3,185230045,869156365,"13×1, 37×1, 61×1"
85,49,3337,5·17,7·7,47·71,3,180681865,847814905,"13×1, 37×1, 61×1"
25,4681,121,5·5,31·151,11·11,3,184080325,863761525,"13×1, 37×1, 61×1"
25,4837,121,5·5,7·691,11·11,3,190215025,892547425,"13×1, 37×1, 61×1"
25,5053,121,5·5,31·163,11·11,3,198709225,932404825,"13×1, 37×1, 61×1"
25,5089,121,5·5,7·727,11·11,3,200124925,939047725,"13×1, 37×1, 61×1"
25,5149,121,5·5,19·271,11·11,3,202484425,950119225,"13×1, 37×1, 61×1"
25,5173,121,5·5,7·739,11·11,3,203428225,954547825,"13×1, 37×1, 61×1"
25,5257,121,5·5,7·751,11·11,3,206731525,970047925,"13×1, 37×1, 61×1"
25,2569,253,5·5,7·367,11·23,3,211236025,991184425,"13×1, 37×1, 61×1"
25,2449,253,5·5,31·79,11·23,3,201369025,944885425,"13×1, 37×1, 61×1"
25,961,649,5·5,31·31,11·59,3,202698925,951125725,"13×1, 37×1, 61×1"
25,2413,253,5·5,19·127,11·23,3,198408925,930995725,"13×1, 37×1, 61×1"
25,973,649,5·5,7·139,11·59,3,205230025,963002425,"13×1, 37×1, 61×1"
25,1057,529,5·5,7·151,23·23,3,181724725,852708325,"13×1, 37×1, 61×1"
25,301,2101,5·5,7·43,11·191,3,205530325,964411525,"13×1, 37×1, 61×1"
25,301,1969,5·5,7·43,11·179,3,192617425,903820225,"13×1, 37×1, 61×1"
25,301,1909,5·5,7·43,23·83,3,186747925,876278725,"13×1, 37×1, 61×1"
25,301,1837,5·5,7·43,11·167,3,179704525,843228925,"13×1, 37×1, 61×1"
25,133,4189,5·5,7·19,59·71,3,181069525,849633925,"13×1, 37×1, 61×1"
25,133,4213,5·5,7·19,11·383,3,182106925,854501725,"13×1, 37×1, 61×1"
25,133,4393,5·5,7·19,23·191,3,189887425,891010225,"13×1, 37×1, 61×1"
25,133,4609,5·5,7·19,11·419,3,199224025,934820425,"13×1, 37×1, 61×1"
25,133,4741,5·5,7·19,11·431,3,204929725,961593325,"13×1, 37×1, 61×1"
25,133,4873,5·5,7·19,11·443,3,210635425,988366225,"13×1, 37×1, 61×1"
25,133,4897,5·5,7·19,59·83,3,211672825,993234025,"13×1, 37×1, 61×1"
25,5293,121,5·5,67·79,11·11,3,208147225,976690825,"13×1, 37×1, 61×1"
25,1141,517,5·5,7·163,11·47,3,191716525,899592925,"13×1, 37×1, 61×1"
25,1141,529,5·5,7·163,23·23,3,196166425,920473225,"13×1, 37×1, 61×1"
85,217,781,5·17,7·31,11·71,3,187272085,878738245,"13×1, 37×1, 61×1"
85,133,1441,5·17,7·19,11·131,3,211776565,993720805,"13×1, 37×1, 61×1"
25,2317,253,5·5,7·331,11·23,3,190515325,893956525,"13×1, 37×1, 61×1"
85,361,517,5·17,19·19,11·47,3,206233885,967712845,"13×1, 37×1, 61×1"
85,1561,121,5·17,7·223,11·11,3,208713505,979347985,"13×1, 37×1, 61×1"
445,133,253,5·89,7·19,11·23,3,194659465,913402105,"13×1, 37×1, 61×1"
205,49,1441,5·41,7·7,11·131,3,188172985,882965545,"13×1, 37×1, 61×1"
205,589,121,5·41,19·31,11·11,3,189931885,891218845,"13×1, 37×1, 61×1"
205,553,121,5·41,7·79,11·11,3,178323145,836747065,"13×1, 37×1, 61×1"
1189,49,253,29·41,7·7,11·23,3,191620429,899142013,"13×1, 37×1, 61×1"
205,301,253,5·41,7·43,11·23,3,202947745,952293265,"13×1, 37×1, 61×1"
1285,49,253,5·257,7·7,11·23,3,207091885,971738845,"13×1, 37×1, 61×1"
205,133,529,5·41,7·19,23·23,3,187501405,879814285,"13×1, 37×1, 61×1"
2329,49,121,17·137,7·7,11·11,3,179512333,842327101,"13×1, 37×1, 61×1"
145,133,781,5·29,7·19,11·71,3,195800605,918756685,"13×1, 37×1, 61×1"
2533,49,121,17·149,7·7,11·11,3,195236041,916107577,"13×1, 37×1, 61×1"
2545,49,121,5·509,7·7,11·11,3,196160965,920447605,"13×1, 37×1, 61×1"
2581,49,121,29·89,7·7,11·11,3,198935737,933467689,"13×1, 37×1, 61×1"
2605,49,121,5·521,7·7,11·11,3,200785585,942147745,"13×1, 37×1, 61×1"
145,889,121,5·29,7·127,11·11,3,202767565,951447805,"13×1, 37×1, 61×1"
145,817,121,5·29,19·43,11·11,3,186345445,874390165,"13×1, 37×1, 61×1"
1165,49,253,5·233,7·7,11·23,3,187752565,880992805,"13×1, 37×1, 61×1"
985,133,121,5·197,7·19,11·11,3,206070865,966947905,"13×1, 37×1, 61×1"
901,133,121,17·53,7·19,11·11,3,188497309,884487373,"13×1, 37×1, 61×1"
865,133,121,5·173,7·19,11·11,3,180965785,849147145,"13×1, 37×1, 61×1"
265,49,1081,5·53,7·7,23·47,3,182478205,856243885,"13×1, 37×1, 61×1"
265,49,1177,5·53,7·7,11·107,3,198683485,932284045,"13×1, 37×1, 61×1"
265,217,253,5·53,7·31,11·23,3,189133945,887474665,"13×1, 37×1, 61×1"
265,469,121,5·53,7·67,11·11,3,195500305,917347585,"13×1, 37×1, 61×1"
289,49,1081,17·17,7·7,23·47,3,199004533,933790501,"13×1, 37×1, 61×1"
565,217,121,5·113,7·31,11·11,3,192857665,904947505,"13×1, 37×1, 61×1"
289,217,253,17·17,7·31,11·23,3,206263057,967849729,"13×1, 37×1, 61×1"
565,49,529,5·113,7·7,23·23,3,190389745,893367265,"13×1, 37×1, 61×1"
565,49,517,5·113,7·7,11·47,3,186070885,873101845,"13×1, 37×1, 61×1"
445,49,649,5·89,7·7,11·59,3,183968785,863238145,"13×1, 37×1, 61×1"
445,301,121,5·89,7·43,11·11,3,210695485,988648045,"13×1, 37×1, 61×1"
